fips,state,county,total_population,senior_population,senior_share,living_alone_65_share,disability_share,median_income,diabetes_prev,chd_prev,copd_prev,poor_physical_health_prev,healthcare_support_workers,healthcare_support_per_1k_seniors,healthcare_support_wage,wage_geo_level,wage_year,wage_source
48277,TX,Lamar County,50669.0,9900.0,0.19538573881465984,0.32161616161616163,0.17649845072924272,61880.0,14.3,7.8,9.1,15.6,1186.0,119.79797979797979,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48279,TX,Lamb County,12828.0,2197.0,0.1712659806672903,0.2872098315885298,0.14226691612098535,60760.0,16.6,7.9,7.9,16.8,253.0,115.15703231679562,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48281,TX,Lampasas County,22715.0,4763.0,0.20968523002421308,0.20239344950661348,0.21871010345586617,81736.0,14.0,7.5,7.9,14.7,327.0,68.6542095318077,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48285,TX,Lavaca County,20552.0,4950.0,0.2408524717789023,0.29494949494949496,0.1394024912417283,63240.0,14.6,8.4,8.7,15.3,370.0,74.74747474747474,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48287,TX,Lee County,17971.0,3578.0,0.19909854766011909,0.24231414197875908,0.14629124700907017,76371.0,15.4,8.1,9.0,16.1,272.0,76.02012297372835,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48289,TX,Leon County,16263.0,3999.0,0.24589559121933222,0.23780945236309078,0.20303756994404476,61449.0,15.3,8.8,9.5,16.0,170.0,42.510627656914224,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48291,TX,Liberty County,103380.0,11905.0,0.11515767072934803,0.2479630407391852,0.13408783130199264,68703.0,13.9,6.5,8.0,16.2,1245.0,104.57790844183117,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48293,TX,Limestone County,22283.0,4657.0,0.20899340304267827,0.24049817479063776,0.1817080285419378,60573.0,16.1,8.4,9.3,16.3,387.0,83.10070861069357,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48295,TX,Lipscomb County,2918.0,542.0,0.18574366004112405,0.2656826568265683,0.11925976696367376,72560.0,14.8,8.0,8.3,15.5,10.0,18.45018450184502,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48297,TX,Live Oak County,11620.0,2376.0,0.2044750430292599,0.23106060606060605,0.16480206540447503,57150.0,16.2,8.5,8.7,16.8,142.0,59.764309764309765,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48299,TX,Llano County,22424.0,8299.0,0.3700945415626115,0.2578623930594047,0.19751159471994292,67530.0,15.7,10.0,9.5,15.3,176.0,21.20737438245572,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48301,TX,Loving County,33.0,27.0,0.8181818181818182,0.8518518518518519,0.7272727272727273,51250.0,,,,,0.0,0.0,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48303,TX,Lubbock County,318884.0,42314.0,0.1326940203961315,0.27619700335586334,0.13396721064713188,64155.0,11.4,5.4,5.8,13.1,5282.0,124.82866190858817,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
