fips,state,county,total_population,senior_population,senior_share,living_alone_65_share,disability_share,median_income,diabetes_prev,chd_prev,copd_prev,poor_physical_health_prev,healthcare_support_workers,healthcare_support_per_1k_seniors,healthcare_support_wage,senior_share_score,living_alone_65_share_score,disability_share_score,diabetes_prev_score,chd_prev_score,copd_prev_score,poor_physical_health_prev_score,healthcare_support_per_1k_seniors_score,median_income_score,healthcare_support_wage_score,care_demand_score,access_constraint_score,care_gap_score,priority_tier,high_gap
39013,OH,Belmont County,65473.0,14378.0,0.2196019733325187,0.3191681735985534,0.158233164816031,57017.0,14.5,8.6,9.8,16.2,1101.0,76.57532341076644,39650,17.134301936557442,28.321437877508487,12.442104431643813,43.67088607594937,50.0,50.4,56.30252100840336,21.58867104332782,16.27587498829186,50.0,31.057552760529667,75.74346842968214,46.69762324473303,Develop,0
48379,TX,Rains County,12775.0,3150.0,0.2465753424657534,0.1857142857142857,0.1870058708414873,65413.0,14.1,8.3,8.8,15.0,79.0,25.07936507936508,39650,20.868418749179394,10.363720786256,16.869349487364573,41.139240506329116,46.66666666666668,42.400000000000006,46.21848739495799,7.070556656608401,22.829310936963378,50.0,27.787972159501546,81.76240055777637,46.67902209889773,Develop,0
48067,TX,Cass County,28568.0,6432.0,0.225147017642117,0.2489116915422885,0.192733127975357,53813.0,15.7,8.7,9.9,16.3,593.0,92.1952736318408,39650,17.901942162771984,18.86764040038162,17.750600309109764,51.26582278481013,51.11111111111111,51.2,57.14285714285715,25.992360796318376,13.775016391395297,50.0,31.927730766450033,74.0716966446063,46.67811882380472,Develop,0
17165,IL,Saline County,23213.0,4996.0,0.215224227803386,0.3759007205764612,0.2346529961659414,53117.0,13.5,8.2,9.7,15.4,505.0,101.0808646917534,39650,16.528259246785574,35.95543824008286,24.200794080214674,37.34177215189874,45.55555555555555,49.599999999999994,49.57983193277312,28.49745112925736,13.231758718661213,50.0,32.573255327774504,72.85687426331009,46.67252195521196,Develop,0
29055,MO,Crawford County,22797.0,4857.0,0.2130543492564811,0.2445954292773317,0.1980085098916524,57629.0,14.1,8.7,11.0,17.0,428.0,88.12023883055383,39650,16.227867407585855,18.28683891250769,18.56232126734338,41.139240506329116,51.11111111111111,60.0,63.025210084033624,24.843497404084523,16.7535670798339,50.0,32.04001311238868,73.81000630380333,46.65951072938381,Develop,0
12047,FL,Hamilton County,13616.0,2681.0,0.1969007050528789,0.2126072361059306,0.1555522914218566,50144.0,17.6,9.9,12.1,18.7,374.0,139.50018649757553,39650,13.99160266409623,13.982468823788283,12.029599487935313,63.29113924050635,64.44444444444444,68.8,77.31092436974791,39.328905222169865,10.911205470042775,50.0,35.38584169264924,67.59574048679374,46.659306270599814,Develop,0
06043,CA,Mariposa County,17082.0,5073.0,0.2969792764313312,0.2320126158091859,0.1766772040744643,68412.0,13.5,9.1,8.4,15.6,292.0,57.55962941060516,39650,27.846196583066906,16.593680263814615,15.280081559765653,37.34177215189874,55.55555555555556,39.2,51.26050420168068,16.227628554118496,25.17015829404602,50.0,30.84240068820555,76.02375680702103,46.65587532979097,Develop,0
29217,MO,Vernon County,19687.0,4048.0,0.2056179204551226,0.3110177865612648,0.1893635393914766,52230.0,14.3,9.0,11.3,17.4,481.0,118.82411067193677,39650,15.198389270247628,27.224711907810494,17.23212302773765,42.40506329113925,54.44444444444445,62.40000000000001,66.38655462184873,33.49975583585649,12.53941740297855,50.0,33.89333494502426,70.31330906938537,46.64032588855065,Develop,0
29131,MO,Miller County,25269.0,5072.0,0.200720250108829,0.3069794952681388,0.1785982824805097,56736.0,13.2,8.2,9.9,16.0,299.0,58.95110410094637,39650,14.520369661631472,26.681314531205675,15.575677144945988,35.44303797468354,45.55555555555555,51.2,54.6218487394958,16.619923199663134,16.056542508351807,50.0,29.42946925105141,78.54207948767974,46.618882833871325,Develop,0
48297,TX,Live Oak County,11620.0,2376.0,0.2044750430292599,0.231060606060606,0.164802065404475,57150.0,16.2,8.5,8.7,16.8,142.0,59.764309764309765,39650,15.040172556955342,16.46557667684428,13.452858603530874,54.43037974683544,48.88888888888889,41.599999999999994,61.34453781512607,16.849188043413765,16.3796871585126,50.0,29.546832006556695,78.31904042856866,46.61710495426088,Develop,0
39087,OH,Lawrence County,56819.0,10854.0,0.1910276492018515,0.3469688594066703,0.2287263063411886,58325.0,15.1,8.6,10.6,16.3,1201.0,110.65045144647134,39650,13.178553449277617,32.062331894158675,23.28885662809554,47.46835443037975,50.0,56.8,57.14285714285715,31.195378493663966,17.296824752567986,50.0,33.902880629386004,70.15349440271441,46.59059545005095,Develop,0
29197,MO,Schuyler County,4038.0,775.0,0.1919266963843487,0.327741935483871,0.1936602278355621,61205.0,12.2,7.6,8.9,15.3,22.0,28.38709677419355,39650,13.303014994400902,29.475133680494885,17.89325280306084,29.11392405063291,38.88888888888889,43.2,48.73949579831934,8.003096387145156,19.54478753629523,50.0,27.31990523507074,82.23486072618161,46.54013965695954,Develop,0
48241,TX,Jasper County,32727.0,6914.0,0.2112628716350414,0.2708996239514029,0.1389067131114981,56723.0,16.3,9.0,10.7,17.1,655.0,94.7353196413075,39650,15.979860320573074,21.82636326626678,9.468350844552676,55.06329113924052,54.44444444444445,57.599999999999994,63.86554621848741,26.70846900573645,16.046395454119704,50.0,32.25991791921106,72.99642341060905,46.51769484120035,Develop,0
17025,IL,Clay County,13052.0,2727.0,0.2089334967821023,0.381004767143381,0.1777505363162733,60417.0,13.9,8.5,10.3,15.9,241.0,88.37550421708836,39650,15.657388264587254,36.64224493955354,15.445234773248265,39.873417721519,48.88888888888889,54.400000000000006,53.781512605042025,24.915463674851424,18.929719941303194,50.0,32.19411268327449,73.11757899644076,46.51732589288268,Develop,0
48321,TX,Matagorda County,36329.0,6607.0,0.1818657271050675,0.2830331466626305,0.1732224944259407,58628.0,16.4,7.9,8.3,16.1,326.0,49.34160738610564,39650,11.910202908099556,23.459064805524065,14.748506733371327,55.69620253164557,42.22222222222223,38.400000000000006,55.462184873949596,13.910744129588615,17.53332917043929,50.0,28.624172757309505,79.58909197759448,46.46189448440924,Develop,0
17191,IL,Wayne County,15973.0,3510.0,0.2197458210730608,0.333048433048433,0.169473486508483,55521.0,13.6,8.5,10.0,15.7,280.0,79.77207977207978,39650,17.154215810266084,30.18918243186932,14.171648347102831,37.9746835443038,48.88888888888889,52.0,52.10084033613446,22.489923802259764,15.108183208966874,50.0,30.747702263700198,75.59808694606707,46.4453369025286,Develop,0
26083,MI,Keweenaw County,2133.0,779.0,0.3652133145804032,0.2156611039794608,0.180028129395218,52583.0,13.4,9.5,9.0,14.0,82.0,105.26315789473684,39650,37.292323530983026,14.393400990519002,15.795687132118527,36.708860759493675,60.00000000000001,44.0,37.815126050420176,29.676553588696148,12.814948952511788,50.0,32.4936271387387,72.33341084046359,46.43755143434241,Develop,0
26095,MI,Luce County,6271.0,1418.0,0.2261202360070164,0.2320169252468265,0.2014032849625259,54893.0,14.1,8.9,10.1,15.8,118.0,83.21579689703808,39650,18.036671756274842,16.594260146972754,19.084673983647214,41.139240506329116,53.33333333333334,52.800000000000004,52.941176470588246,23.46080153238955,14.618002435293015,50.0,30.83661678886914,75.21115842659785,46.36770636207419,Develop,0
39033,OH,Crawford County,41711.0,8862.0,0.212461940495313,0.3228390882419318,0.1583515139891156,58044.0,14.6,8.8,10.3,15.8,741.0,83.61543669600542,39650,16.145856016865785,28.81540060633579,12.460314772754023,44.30379746835443,52.222222222222236,54.400000000000006,52.941176470588246,23.573470885536736,17.077492272627932,50.0,31.237556665834116,74.41134333116642,46.34838199870042,Develop,0
48087,TX,Collingsworth County,2588.0,628.0,0.2426584234930448,0.2308917197452229,0.1441267387944358,61280.0,15.5,8.2,9.3,16.5,38.0,60.50955414012739,39650,20.326171582449014,16.44285112931386,10.271554160746668,50.000000000000014,45.55555555555555,46.400000000000006,58.82352941176471,17.059292747642214,19.60332823378813,50.0,29.680189893890695,77.23639051866034,46.324860112560074,Develop,0
48213,TX,Henderson County,84862.0,19136.0,0.2254955103579929,0.2509928929765886,0.1869977139355659,65179.0,14.5,8.3,9.2,15.8,1039.0,54.29556856187291,39650,17.95018650714738,19.147689390782567,16.86809438743138,43.67088607594937,46.66666666666668,45.599999999999994,52.941176470588246,15.307400825523901,22.64666396078554,50.0,29.621191834210936,77.28693035772619,46.30420031744127,Develop,0
